epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8459646105766296,0.0010000000474974513,0.42267197370529175,0.8118848204612732,0.8954996466636658,0.27613160014152527,0.9525386095046997
1,0.9660302400588989,0.0010000000474974513,0.10672914236783981,0.9671505689620972,0.9557589888572693,0.11804694682359695,0.9591611623764038
2,0.984127938747406,0.0010000000474974513,0.05298612266778946,0.9828985929489136,0.9733028411865234,0.07789228111505508,0.9635761380195618
3,0.9909218549728394,0.0010000000474974513,0.029831547290086746,0.9883120059967041,0.986270010471344,0.0501118004322052,0.9900662302970886
4,0.9940260052680969,0.0010000000474974513,0.018394069746136665,0.992495059967041,0.9908466935157776,0.03871501609683037,0.9944812655448914
5,0.9958416223526001,0.0010000000474974513,0.014744867570698261,0.9942175149917603,0.9900839328765869,0.049646150320768356,0.99227374792099
6,0.9957830905914307,0.0010000000474974513,0.015150976367294788,0.9945865869522095,0.9931350350379944,0.05364353582262993,0.99227374792099
7,0.9847721457481384,0.0010000000474974513,0.08194594830274582,0.9825295209884644,0.9916094541549683,0.04223645478487015,0.9900662302970886
8,0.9988871812820435,0.00010000000474974513,0.004288420081138611,0.9979084730148315,0.9931350350379944,0.039831988513469696,0.9933775067329407
9,0.9987114667892456,0.00010000000474974513,0.004041709471493959,0.9979084730148315,0.9931350350379944,0.04016854241490364,0.9933775067329407
