epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8856191039085388,0.0010000000474974513,0.28021880984306335,0.8745445609092712,0.9580472707748413,0.111429862678051,0.943708598613739
1,0.9882164001464844,0.0010000000474974513,0.039645493030548096,0.9861549735069275,0.9916094541549683,0.03891606256365776,0.9878587126731873
2,0.9957430958747864,0.0010000000474974513,0.01450477447360754,0.9942919611930847,0.9946605563163757,0.02805180847644806,0.9933775067329407
3,0.9966685175895691,0.0010000000474974513,0.009759345091879368,0.9963565468788147,0.9916094541549683,0.044210035353899,0.9878587126731873
4,0.9994447231292725,0.0010000000474974513,0.0031388739589601755,0.9993927478790283,0.9946605563163757,0.05366724357008934,0.99227374792099
5,0.9966068267822266,0.0010000000474974513,0.009910914115607738,0.9964780211448669,0.986270010471344,0.09232046455144882,0.9801324605941772
6,0.9995681643486023,0.00010000000474974513,0.0019605348352342844,0.9991498589515686,0.9969488978385925,0.0420818068087101,0.9955849647521973
7,0.9999383091926575,0.00010000000474974513,0.0007152018952183425,0.9998785257339478,0.9961861371994019,0.04700350761413574,0.9944812655448914
8,0.9999383091926575,0.00010000000474974513,0.0008298753527924418,0.9998785257339478,0.9961861371994019,0.04969283565878868,0.9944812655448914
9,0.9998766183853149,1.0000000656873453e-05,0.0005875644856132567,0.9997571110725403,0.9961861371994019,0.04944229498505592,0.9944812655448914
10,0.9999383091926575,1.0000000656873453e-05,0.0003042376774828881,0.9998785257339478,0.9961861371994019,0.04980936646461487,0.9944812655448914
11,0.9999383091926575,1.0000000656873453e-05,0.0004779066948685795,0.9998785257339478,0.9961861371994019,0.05031905695796013,0.9944812655448914
