epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8896909356117249,0.0010000000474974513,0.31135743856430054,0.910250186920166,0.9580472707748413,0.1546962410211563,0.9735099077224731
1,0.959775447845459,0.0010000000474974513,0.12075091898441315,0.9649016261100769,0.9649122953414917,0.12276233732700348,0.9779249429702759
2,0.9671787023544312,0.0010000000474974513,0.09674572944641113,0.9740102291107178,0.9641494750976562,0.11528239399194717,0.9889624714851379
3,0.9734715223312378,0.0010000000474974513,0.08040856570005417,0.9812970757484436,0.9710144996643066,0.09724192321300507,0.9834437370300293
4,0.9741501808166504,0.0010000000474974513,0.0714622363448143,0.9836045503616333,0.9710144996643066,0.10577689111232758,0.9724062085151672
5,0.9761860966682434,0.0010000000474974513,0.06484915316104889,0.9856691956520081,0.9740656018257141,0.08695690333843231,0.9812362194061279
6,0.9774816632270813,0.0010000000474974513,0.058843739330768585,0.9865193367004395,0.972540020942688,0.07733339816331863,0.9779249429702759
7,0.9830958247184753,0.0010000000474974513,0.048328954726457596,0.9822686314582825,0.9542334079742432,0.1257385015487671,0.9481236338615417
8,0.9809982180595398,0.0010000000474974513,0.04796220734715462,0.9791110157966614,0.9733028411865234,0.0679405927658081,0.9790287017822266
9,0.9818002581596375,0.0010000000474974513,0.04633529856801033,0.9783822894096375,0.9717772603034973,0.06896752119064331,0.9856511950492859
