epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8719847202301025,0.0010000000474974513,0.34628307819366455,0.8319164514541626,0.9595728516578674,0.1074955016374588,0.9525386095046997
1,0.9908692836761475,0.0010000000474974513,0.031797923147678375,0.9891911745071411,0.986270010471344,0.04275832325220108,0.9900662302970886
2,0.9919797778129578,0.0010000000474974513,0.02715548500418663,0.9911343455314636,0.9816933870315552,0.0612996369600296,0.9735099077224731
3,0.9974088668823242,0.0010000000474974513,0.00826570950448513,0.9964780211448669,0.9855072498321533,0.04835137352347374,0.9955849647521973
4,0.9991979598999023,0.0010000000474974513,0.0025932188145816326,0.9989069700241089,0.9977116584777832,0.017698092386126518,0.996688723564148
5,0.9996915459632874,0.0010000000474974513,0.0017744682263582945,0.9995142221450806,0.9923722147941589,0.03346246853470802,0.9933775067329407
6,0.9941390752792358,0.0010000000474974513,0.01918087899684906,0.993684709072113,0.9923722147941589,0.03811667114496231,0.9889624714851379
7,0.9996915459632874,0.0010000000474974513,0.0020902082324028015,0.999635636806488,0.9954233169555664,0.03440619632601738,0.9933775067329407
8,0.9998766183853149,0.00010000000474974513,0.0006137156160548329,0.9997571110725403,0.9961861371994019,0.03204052522778511,0.9944812655448914
9,0.9999383091926575,0.00010000000474974513,0.0002274909638799727,0.9998785257339478,0.9954233169555664,0.03393057361245155,0.9933775067329407
10,1.0,0.00010000000474974513,0.00019312181393615901,1.0,0.9954233169555664,0.034026749432086945,0.9933775067329407
11,1.0,1.0000000656873453e-05,0.00012034855171805248,1.0,0.9954233169555664,0.0346280075609684,0.9933775067329407
12,1.0,1.0000000656873453e-05,0.00014080226537771523,1.0,0.9954233169555664,0.03533492609858513,0.9933775067329407
13,1.0,1.0000000656873453e-05,0.00013425355427898467,1.0,0.9954233169555664,0.03549778088927269,0.9933775067329407
