epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.8751310706138611,0.0010000000474974513,0.33698374032974243,0.8356813192367554,0.9710144996643066,0.09764357656240463,0.9845474362373352
1,0.9825405478477478,0.0010000000474974513,0.05512673407793045,0.9848190546035767,0.9877955913543701,0.05021949112415314,0.9867549538612366
2,0.99056077003479,0.0010000000474974513,0.030542977154254913,0.9899198412895203,0.986270010471344,0.03771904855966568,0.9812362194061279
3,0.9980257749557495,0.0010000000474974513,0.0073212082497775555,0.9976924657821655,0.9870327711105347,0.0454246811568737,0.9812362194061279
4,0.9969769716262817,0.0010000000474974513,0.008072473108768463,0.9965994954109192,0.9870327711105347,0.052427034825086594,0.9812362194061279
5,0.9951261878013611,0.0010000000474974513,0.016327055171132088,0.9946563243865967,0.9877955913543701,0.04438977688550949,0.9823399782180786
6,0.9990128874778748,0.00010000000474974513,0.004063435364514589,0.9984211921691895,0.9938977956771851,0.024220289662480354,0.9911699891090393
7,0.9995064735412598,0.00010000000474974513,0.0016375958221033216,0.9992713332176208,0.9938977956771851,0.029682349413633347,0.9911699891090393
8,0.9997532367706299,0.00010000000474974513,0.001084852498024702,0.999635636806488,0.9938977956771851,0.03060111775994301,0.9911699891090393
9,1.0,0.00010000000474974513,0.000489376368932426,1.0,0.9938977956771851,0.03484072908759117,0.9911699891090393
10,1.0,1.0000000656873453e-05,0.00045172570389695466,1.0,0.9938977956771851,0.03541901335120201,0.9911699891090393
11,0.9998766183853149,1.0000000656873453e-05,0.0005176712293177843,0.9997571110725403,0.9938977956771851,0.03606514260172844,0.9911699891090393
